location,time_operation,local_production_opex,local_production_output,transport_opex,transport_output,total_opex,total_output,total_opex_per_unit,transport_to_production_opex_ratio,transport_to_production_output_ratio
KOR,12,3123945.343768317,589.9920000000001,463257.82981261157,951.3594500000003,3587203.1735809282,1541.3514500000003,2327.310344166431,0.14829255279280856,1.6124955084136736
KOR,13,3168479.1749886284,606.203,502331.37730461074,982.573425,3670810.552293239,1588.776425,2310.4638856239567,0.15854021742352578,1.6208653289409654
ROE,0,4388002.237403446,2222.90536,83721.79760327935,42.787056,4471724.035006725,2265.6924160000003,1973.6677421118775,0.01907970713634386,0.01924825805449495
ROE,1,4348813.177544727,2305.592125,103040.46503685377,45.714296,4451853.642581581,2351.3064210000002,1893.353245166671,0.023693927706277977,0.01982757292771374
ROE,2,4301173.177544727,2305.5921250000006,125643.30065444097,49.139166,4426816.478199168,2354.7312910000005,1879.96672703967,0.02921140244024374,0.02131303514926778
ROE,3,4425974.264933863,2431.016885,197669.07724617978,53.146264,4623643.3421800425,2484.163149,1861.2478588780655,0.044661144736487426,0.021861742025703783
ROE,4,4453129.1419549165,2471.9607250000004,249194.82502392065,57.834568999999995,4702323.966978837,2529.7952940000005,1858.7764702272532,0.05595948760527626,0.02339623296401685
ROE,5,4476126.029035647,2502.782725,296913.5091446042,63.319886000000004,4773039.538180252,2566.1026110000003,1860.0345589143126,0.0663326964474618,0.025299793452905506
ROE,6,4498537.651202201,2516.9657230000003,312830.0200551277,78.60870312000003,4811367.671257328,2595.57442612,1853.681259469647,0.06954038052155152,0.031231535019199792
ROE,7,4783572.671166357,2534.4977925840003,257872.49307159934,138.718556,5041445.164237956,2673.216348584,1885.9098953619687,0.05390792840379771,0.05473216682448639
ROE,8,5006141.429852154,2677.8760106,317538.3979716281,167.17816100000002,5323679.827823782,2845.0541716,1871.2050831811946,0.0634297696980978,0.06242938819357151
ROE,9,5171449.615068392,2785.151725,383286.074202944,196.75764999999998,5554735.6892713355,2981.909375,1862.8117057619618,0.0741157901038305,0.07064521772148696
ROE,10,5309846.866355481,3122.513937927999,458547.6677777626,228.08950895999993,5768394.534133243,3350.603446887999,1721.598698733167,0.08635798344453875,0.07304675447224837
ROE,11,5860645.759237798,3536.0692810200007,507326.0709878497,244.03316,6367971.830225647,3780.1024410200007,1684.6029782482167,0.08656487558357896,0.06901255054867227
ROE,12,6031484.968829369,3677.0978000000005,609165.4932651493,270.797049,6640650.462094518,3947.8948490000002,1682.0737927649193,0.10099759784088133,0.07364423350393345
ROE,13,6191318.56953541,3794.987400000001,728493.5370369459,296.452482,6919812.106572356,4091.439882000001,1691.2901829538246,0.11766371393349435,0.07811685540774126
ROW,0,4891465.4452818055,430.9745818304999,115042.29364883258,138.36205897375,5006507.738930638,569.3366408042499,8793.580774738828,0.023518983203653154,0.3210445924353077
