location,time_operation,local_production_opex,local_production_output,transport_opex,transport_output,total_opex,total_output,total_opex_per_unit,transport_to_production_opex_ratio,transport_to_production_output_ratio
DEU,7,1130333.1257745184,146.96887155,3426.3771997049116,311.075195126,1133759.5029742233,458.04406667599994,2475.2192757388,0.0030312985805464343,2.116605998571403
DEU,8,1160520.105577633,148.950725,39304.269288430085,321.0545715,1199824.374866063,470.0052965,2552.7890511039445,0.03386780556366744,2.155441482409703
DEU,9,1213260.105577633,150.950725,84496.82567040465,335.06160750000004,1297756.9312480376,486.01233250000007,2670.21399348552,0.06964444415665981,2.2196753775114364
DEU,10,1228000.105577633,151.950725,123603.9600164635,342.8202395,1351604.0655940964,494.7709645,2731.7772516420505,0.10065468191333912,2.256127698633883
DEU,11,1275813.105577633,153.950725,198228.8021156514,357.2430395,1474041.9076932843,511.19376450000004,2883.5287322705285,0.15537448333853096,2.320502482206563
DEU,12,1353999.105577633,156.950725,270511.23412814835,378.3681145,1624510.3397057813,535.3188395,3034.6593839721972,0.19978686323632752,2.410744611087333
DEU,13,1426212.105577633,159.950725,354834.45590571477,399.80005350000005,1781046.5614833478,559.7507785,3181.8563365934606,0.2487950105864531,2.4995201084584022
ITA,0,472040.4469387199,51.011849999999995,49004.83877417574,101.44751450000001,521045.2857128956,152.4593645,3417.6010599394544,0.1038149147853373,1.9887048695548195
ITA,1,493569.88707885257,55.544709743999945,57773.02678760443,112.04133452639988,551342.913866457,167.58604427039984,3289.90946869577,0.11705136050646994,2.0171378164146914
ITA,2,542427.8079742463,65.42475000000002,69004.8803620312,134.442349,611432.6883362775,199.86709900000002,3059.19629291401,0.12721486499694248,2.0549157467166475
ITA,3,548661.8079742464,65.75475000000002,72756.7118385515,137.172775,621418.5198127979,202.927525,3062.268264557989,0.1326075749780758,2.086127237956193
ITA,4,541219.8079742464,65.75475000000002,85230.02354787911,138.266988,626449.8315221255,204.02173800000003,3070.5053180270693,0.15747765010096365,2.1027680585813187
ITA,5,533895.8079742464,65.75475000000002,99823.80725327511,139.54721800000002,633719.6152275215,205.30196800000004,3086.7683412928677,0.18697244998426793,2.1222378307270575
ITA,6,526571.8079742464,65.75475000000002,116898.5216493087,141.045086,643470.3296235552,206.79983600000003,3111.561121467984,0.22199920291787814,2.145017447408742
ITA,7,618442.2316417178,76.693179135,122682.748377865,158.7324035405,741124.9800195829,235.42558267549998,3148.022282018162,0.1983738207078633,2.0697069195826345
ITA,8,717665.9401912623,88.914,130199.15214849185,178.58579999999998,847865.0923397541,267.4998,3169.591500030109,0.18142027488972515,2.008522842297051
ITA,9,897302.9685453774,112.54792499999999,149100.0652078992,226.12661100000003,1046403.0337532766,338.674536,3089.7009444881223,0.16616468510029128,2.0091584185137137
ITA,10,1084431.9536101222,138.814425,186765.54336657102,286.36241049999995,1271197.4969766932,425.1768354999999,2989.808923813521,0.17222430853758985,2.062915367044887
ITA,11,1328737.81720274,158.769901,208564.32278858463,338.09881344000013,1537302.1399913249,496.86871444000013,3093.980553241219,0.15696424086706165,2.129489351007406
ITA,12,1514698.9870074214,185.656201,242755.2840288687,393.2950724400001,1757454.27103629,578.9512734400001,3035.582356687613,0.16026635398263409,2.1184052583301547
ITA,13,2084603.884712933,228.67155,297661.94769184355,531.407019,2382265.8324047765,760.078569,3134.2362876235447,0.14279065191938564,2.3238877726590825
JPN,0,3555635.4770143004,179.83525000000003,36939.296650570584,307.052275,3592574.773664871,486.88752500000004,7378.654389768707,0.01038894366122954,1.7074087254862433
