technology,edge,time_operation,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
Nickel_transport,JPN-AUT,1,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUT,2,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUT,3,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUT,4,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUT,5,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUT,6,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUT,7,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUT,8,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUT,9,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUT,10,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUT,11,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUT,12,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-AUT,13,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-BRA,0,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-BRA,1,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-BRA,2,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-BRA,3,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-BRA,4,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-BRA,5,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-BRA,6,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-BRA,7,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-BRA,8,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-BRA,9,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-BRA,10,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-BRA,11,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-BRA,12,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-BRA,13,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CHN,0,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CHN,1,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CHN,2,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CHN,3,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CHN,4,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CHN,5,0.0,0.0,0.0,0.0,0.0
