technology,location,year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
Copper_ore_transport,ROW-JPN,1,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-JPN,2,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-JPN,3,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-JPN,4,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-JPN,5,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-JPN,6,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-JPN,7,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-JPN,8,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-JPN,9,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-JPN,10,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-JPN,11,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-JPN,12,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-JPN,13,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-KOR,0,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-KOR,1,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-KOR,2,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-KOR,3,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-KOR,4,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-KOR,5,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-KOR,6,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-KOR,7,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-KOR,8,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-KOR,9,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-KOR,10,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-KOR,11,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-KOR,12,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-KOR,13,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ROE,0,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ROE,1,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ROE,2,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ROE,3,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ROE,4,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ROE,5,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ROE,6,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ROE,7,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ROE,8,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ROE,9,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ROE,10,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ROE,11,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ROE,12,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-ROE,13,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-USA,0,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-USA,1,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-USA,2,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-USA,3,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-USA,4,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-USA,5,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-USA,6,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-USA,7,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-USA,8,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-USA,9,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-USA,10,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-USA,11,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-USA,12,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-USA,13,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-AUS,0,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-AUS,1,0.0,0.256,0.0,0.0,0.0
Copper_ore_transport,USA-AUS,2,0.0,0.256,0.256,0.128,0.0
Copper_ore_transport,USA-AUS,3,0.0,0.256,0.256,0.128,0.0
Copper_ore_transport,USA-AUS,4,0.0,0.256,0.256,0.128,0.0
Copper_ore_transport,USA-AUS,5,0.0,0.256,0.256,0.128,0.0
Copper_ore_transport,USA-AUS,6,0.0,0.256,0.256,0.128,0.0
Copper_ore_transport,USA-AUS,7,0.0,0.256,0.256,0.128,0.0
Copper_ore_transport,USA-AUS,8,0.0,0.256,0.256,0.128,0.0
Copper_ore_transport,USA-AUS,9,0.0,0.256,0.256,0.128,0.0
Copper_ore_transport,USA-AUS,10,0.0,0.256,0.256,0.128,0.0
Copper_ore_transport,USA-AUS,11,0.0,0.256,0.256,0.128,0.0
Copper_ore_transport,USA-AUS,12,0.256,0.256,0.256,0.128,0.256
Copper_ore_transport,USA-AUS,13,0.256,0.256,0.256,0.128,0.256
Copper_ore_transport,USA-AUT,0,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-AUT,1,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-AUT,2,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-AUT,3,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-AUT,4,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-AUT,5,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-AUT,6,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-AUT,7,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-AUT,8,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-AUT,9,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-AUT,10,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-AUT,11,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-AUT,12,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-AUT,13,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-BRA,0,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-BRA,1,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-BRA,2,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-BRA,3,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-BRA,4,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-BRA,5,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-BRA,6,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-BRA,7,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-BRA,8,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-BRA,9,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-BRA,10,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-BRA,11,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-BRA,12,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-BRA,13,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-CHN,0,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-CHN,1,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,USA-CHN,2,0.0,0.0,0.0,0.0,0.0
